MONTHS OF EMPLOYMENT,MONTHS WITH ABOVE AVERAGE PERFORMANCE
23.98989899,0.862068966
14.01515152,0.862068966
31.06060606,1.896551724
21.08585859,1.896551724
13.00505051,3.879310345
36.99494949,5.862068966
17.04545455,9.913793103
18.05555556,10.86206897
35.98484848,16.89655172
33.08080808,16.89655172
47.97979798,17.93103448
46.96969697,18.87931034
33.96464646,19.9137931
28.03030303,19.9137931
30.05050505,22.93103448
43.05555556,24.9137931
35.98484848,30.86206897
45.95959596,34.9137931
45.95959596,44.9137931
