Group,"Temperature, °C","β Volume Fraction, %"
Commercial,749.8802395,8.958009331
Commercial,815.2694611,16.6096423
Commercial,847.9640719,22.02177294
Commercial,873.9520958,27.80715397
Commercial,905.8083832,36.95178849
Commercial,949.8203593,55.42768274
Commercial,1009.760479,92.37947123
ELI,758.6826347,26.12752722
ELI,786.7664671,27.80715397
ELI,818.6227545,30.60653188
ELI,846.7065868,34.15241058
ELI,878.5628743,39.00466563
ELI,907.4850299,45.16329705
ELI,938.0838323,57.48055988
ELI,967.005988,80.0622084
ELI,974.5508982,92.37947123
