R=0.3@600C,,,R=0.3@500C,,,R=0.1@500C,,,R=0.7@500C,,,R=0.3 Typical,,,R=0.3 Minimum,,,Best fit for R=0.3
Stress range (MPa),Number of cycles to failure,,Stress range (MPa),Number of cycles to failure,,Stress range (MPa),Number of cycles to failure,,Stress range (MPa),Number of cycles to failure,,Stress range (MPa),Number of cycles to failure,,Stress range (MPa),Number of cycles to failure,,y=2333x^-0.123
315,17994100,,420,921000,,540,819400,,180,52566300,,449.05,100000,,386.19,100000,,
420,1178000,,420,633300,,,,,240,1826300,,428.19,300000,,365.33,300000,,
350,4621800,,367.5,4192000,,,,,,,,387.1,1000000,,324.17,1000000,,
385,2046400,,402.5,2359200,,,,,,,,348.67,3000000,,285.81,3000000,,
420,767200,,560,100000,,,,,,,,324.66,10000000,,261.8,10000000,,
420,810500,,490,426200,,,,,,,,316.05,30000000,,253.19,30000000,,
420,850600,,542.5,275600,,,,,,,,312.83,100000000,,249.97,100000000,,
560,152500,,,,,,,,,,,,,,,,,
525,321000,,,,,,,,,,,,,,,,,
