Label,1hour@500°C ,,,Label,1hour@600°C ,,,Label,As-welded,
,,,,,,,,,,
Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation,,Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation,,Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation
-3.313579077,322.4947193,5.98860746,,-3.366622741,307.2076096,8.033371303,,-3.106366922,307.1619431,6.725757153
-3.113524449,326.8948319,10.5055468,,-3.169487306,319.9242142,2.353364343,,-2.909818764,317.4250705,18.2288285
-2.912838966,323.7456218,14.76754275,,-2.97109658,330.1900199,6.539322253,,-2.709353718,311.1054302,7.074272141
-2.710461186,331.985198,8.026157218,,-2.772615089,323.9241845,17.19653549,,-2.506849575,313.0914521,14.76750037
-2.511094453,331.0357999,5.610095231,,-2.573738217,320.0301823,7.112008012,,-2.30416607,313.6390159,10.26956205
-2.309529261,342.7364043,7.928544861,,-2.376741121,306.7084664,13.33422061,,-2.10679685,303.9668778,1.880221604
-2.10800431,326.7396457,6.365119425,,-2.180887704,317.667729,9.749446903,,-1.905080371,309.0912162,14.11445751
-1.909056381,326.8223966,8.817590919,,-1.979303047,326.1571585,12.45072447,,-1.704791768,307.0636849,2.195941166
-1.705709971,330.5283154,13.82498089,,-1.7801354,316.8147648,9.045886923,,-1.501698721,308.0474724,9.312308312
-1.606644495,332.2301179,13.26997917,,-1.682046933,328.3937048,3.678435696,,-1.400876696,308.8067477,8.893049336
-1.507832696,332.0998898,10.74161891,,-1.582274657,311.8952326,6.881954417,,-1.300280717,307.2333871,8.638318782
-1.404683665,338.9655282,2.214126843,,-1.482896519,309.550177,7.76441668,,-1.200437988,309.4152443,2.221182115
-1.306867263,335.4675131,6.697013067,,-1.387086902,319.9723333,5.095485628,,-1.101911766,327.7458941,10.21438229
-1.206618134,341.6826758,5.68434E-14,,-1.287357158,319.2801578,9.151770218,,-1.003039292,326.7001821,4.875937029
-1.105325945,348.5433176,12.9397943,,-1.188968916,325.4398995,14.60254909,,-0.901624743,333.7232484,7.580529976
-1.006481435,367.302066,7.808074371,,-1.090152247,327.9097321,5.25242864,,-0.801043388,343.9452937,5.096816737
-0.905103699,375.6518143,6.306936441,,-0.995486137,337.0786721,12.84049816,,-0.701821423,358.3357589,5.497245304
-0.803391704,382.3839089,6.412837812,,-0.88916089,334.4123821,11.28305413,,-0.601039883,361.7873377,5.016427399
-0.703545535,394.0869373,16.55331081,,-0.791713654,362.3881193,8.725559619,,-0.499906084,365.8094598,5.183018588
-0.602415459,400.4934034,3.79030071,,-0.693631522,383.6727458,5.799717994,,-0.399863062,374.0604697,5.663381709
-0.503111594,394.7445934,3.222658988,,-0.595061451,382.0120194,4.082287889,,-0.299027289,375.176516,8.042697005
