Sample,473-1R,,,Sample,473-2R,,,Sample,473-4R,,,Sample,473-5R,,,Sample,473-7R,,,Sample,473-8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.11,307.16,6.73,,-3.11,295.77,5.85,,-3.31,290.00,6.71,,-3.00,341.00,11.52,,-3.20,319.24,8.13,,-2.91,301.90,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.91,317.43,18.23,,-2.91,315.31,11.44,,-3.11,310.53,11.73,,-2.80,325.00,8.04,,-3.00,321.59,2.35,,-2.71,310.29,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.71,311.11,7.07,,-2.71,317.04,13.15,,-2.91,301.75,5.58,,-2.60,313.67,11.12,,-2.80,320.01,6.46,,-2.51,311.88,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.51,313.09,14.77,,-2.51,322.21,16.27,,-2.71,302.62,8.71,,-2.40,322.67,2.36,,-2.60,330.12,3.24,,-2.31,321.77,9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.30,313.64,10.27,,-2.31,314.42,9.90,,-2.51,308.72,6.59,,-2.20,327.67,14.82,,-2.40,325.36,13.64,,-2.10,311.57,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.11,303.97,1.88,,-2.11,308.13,10.86,,-2.31,298.12,9.14,,-2.00,314.00,7.79,,-2.20,316.74,7.04,,-1.91,320.03,19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.91,309.09,14.11,,-1.91,318.56,11.32,,-2.10,315.16,8.18,,-1.80,327.33,16.66,,-2.00,307.96,7.34,,-1.70,300.45,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.70,307.06,2.20,,-1.71,307.56,14.40,,-1.91,308.68,5.13,,-1.60,313.00,7.07,,-1.80,309.42,2.22,,-1.50,303.23,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.50,308.05,9.31,,-1.50,309.42,2.96,,-1.70,310.23,4.06,,-1.40,298.67,0.94,,-1.60,327.16,15.06,,-1.30,313.21,16.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
