Bifurcation ,,,,Edge,,
Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std
-2.91,316.64,3.06,,-2.76,309.89,13.97
-2.71,336.40,8.04,,-2.56,312.20,13.30
-2.51,309.45,4.49,,-2.36,302.55,6.99
-2.31,325.93,7.67,,-2.16,324.47,12.81
-2.11,308.79,8.50,,-1.96,315.28,11.13
-1.91,307.85,12.89,,-1.76,315.13,7.60
-1.71,306.28,1.90,,-1.55,322.71,11.29
-1.50,309.88,5.92,,-1.35,311.93,7.85
-1.30,320.70,18.47,,-1.15,323.29,4.12
-1.20,330.98,2.62,,-1.05,331.18,9.71
-1.10,327.71,9.46,,-0.95,344.79,12.75
-1.00,324.61,6.35,,-0.85,364.78,4.25
-0.90,321.64,5.16,,-0.75,376.19,6.49
-0.80,338.97,2.71,,-0.65,377.17,2.60
-0.70,348.18,1.33,,-0.55,382.53,1.53
-0.60,353.69,4.26,,-0.45,384.27,2.45
-0.50,360.61,5.87,,-0.35,397.66,6.44
-0.40,369.45,7.71,,-0.25,395.68,5.08
-0.30,383.04,6.67,,-0.15,397.68,7.27
-0.20,386.90,2.34,,-0.05,480.82,16.68
-0.10,390.92,3.93,,0.05,475.14,6.06
0.00,429.89,4.78,,0.15,466.13,6.40
0.10,409.09,8.37,,0.25,461.19,4.76
0.20,402.24,3.92,,0.35,454.91,1.69
0.30,397.07,5.80,,0.45,441.89,10.52
0.40,391.06,1.46,,0.55,426.84,6.62
0.50,381.71,5.28,,0.65,417.53,13.10
0.60,376.66,8.43,,0.75,404.87,10.19
0.70,371.04,9.08,,0.86,381.76,12.70
0.81,364.21,5.90,,0.96,364.81,5.72
0.91,361.76,3.78,,1.06,360.79,4.73
1.01,357.74,8.47,,1.16,343.99,6.86
1.10,342.80,2.82,,1.26,345.63,10.84
1.20,336.82,3.14,,1.36,343.94,4.75
1.31,319.34,10.50,,1.46,343.59,5.67
1.41,318.49,9.87,,1.56,333.64,4.32
1.51,323.38,7.50,,1.66,345.51,8.03
1.61,339.22,10.85,,1.76,343.55,3.44
1.71,320.78,4.08,,1.86,348.54,12.94
1.81,339.36,13.57,,1.96,356.28,14.81
1.91,334.50,3.32,,2.06,370.24,14.18
2.11,333.66,5.30,,2.26,357.12,12.42
2.31,345.88,15.53,,2.46,357.86,6.03
2.51,343.06,1.38,,2.66,356.95,8.43
2.71,353.07,8.05,,2.86,358.80,4.20
2.91,351.53,4.30,,3.06,360.12,13.09
3.11,342.71,7.31,,3.26,361.77,4.25
3.31,377.18,3.18,,3.47,353.94,4.89
3.52,362.91,9.17,,3.67,365.09,12.88
