CP001L 500°C 575CWZ //,,,CP001R 500°C 575CWZ //,,,CP009R 500°C 575CWZ //,,,CP005L 500°C 575CWZ ⊥,,,CP005R 500°C Interface ⊥,,,CP011L 600°C 575CWZ //,,,CP015L 600°C 575CWZ //,,,CP021L 500°C 575CWZ //,,,CP015R 600°C 64CWZ //,,,CP021R 600°C 64CWZ //,,,CP016L 600°C Ti575 //,,,CP022L 600°C Ti575 //,,,CP016R 600°C Ti64 //,,,CP022R 600°C Ti64 //,,
DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,
13.67021684,1.96015E-05,,8.928096976,6.41003E-06,,10.86165779,1.0045E-05,,12.44564328,7.44797E-06,,11.00902612,2.14714E-05,,8.9369846,1.28561E-05,,8.280820125,1.05E-05,,13.61837028,3.40E-05,,6.121878029,3.84E-06,,20.24719272,0.000134281,,11.42444734,9.44E-06,,24.92266628,0.00028536,,14.04475388,1.75E-05,,27.89608176,0.00022283,
13.28947808,1.64462E-05,,8.809518435,6.25718E-06,,10.66844037,1.14894E-05,,12.17728149,7.13935E-06,,10.6592204,3.2168E-06,,8.516913541,1.31129E-05,,8.420996683,9.43E-06,,14.03711306,3.77E-05,,6.339452384,4.34E-06,,20.86729081,0.00014365,,11.74987583,1.33E-05,,25.668997,0.000288471,,14.45506762,2.01E-05,,28.59981485,0.000236253,
12.92369048,1.62628E-05,,8.69410933,6.18863E-06,,10.4810231,9.19594E-06,,11.91835697,6.30871E-06,,10.3236554,2.0063E-06,,8.12559258,1.18222E-05,,8.562041,1.15E-05,,14.44506593,4.17E-05,,6.555377484,4.69E-06,,21.47230525,0.000154692,,12.07756767,1.63E-05,,26.39461724,0.000315286,,14.86503626,2.22E-05,,29.29400316,0.000250667,
12.5721294,1.26355E-05,,8.581765962,5.96619E-06,,10.29919648,9.23879E-06,,11.66847121,6.23058E-06,,10.00161857,1.52089E-06,,7.760500809,1.04396E-05,,8.774560712,1.16E-05,,14.84404461,4.75E-05,,6.770438745,5.35E-06,,22.06484411,0.000165563,,12.40782088,1.72E-05,,27.10273477,0.000318692,,15.2754206,2.26E-05,,29.980324,0.000260893,
12.2341128,1.24946E-05,,8.472388471,6.2162E-06,,10.12275938,8.71295E-06,,11.4272446,4.87148E-06,,9.692437764,9.44686E-07,,7.419408825,9.53734E-06,,9.0622277,1.35E-05,,15.23556728,5.28E-05,,6.985276381,5.65E-06,,22.64708796,0.000184159,,12.74088895,2.19E-05,,27.79604113,0.000364336,,15.68685884,2.62E-05,,30.66020696,0.00026963,
11.90899811,9.97929E-06,,8.365880683,5.91261E-06,,9.951518767,8.1153E-06,,11.19431552,4.3849E-06,,9.395478707,7.48132E-07,,7.100330891,8.42471E-06,,9.353879618,1.42E-05,,15.62091126,5.80E-05,,7.200416376,5.87E-06,,23.22087087,0.000186515,,13.07698961,2.49E-05,,28.47680844,0.000379133,,16.09988929,2.81E-05,,31.33487441,0.000284594,
11.59617937,1.04723E-05,,8.262149957,5.18448E-06,,9.785289353,5.64945E-06,,10.96933945,4.025E-06,,9.267314785,6.34599E-07,,6.801488018,8.18035E-06,,9.649697587,1.64E-05,,16.00115682,6.36E-05,,7.416294172,6.37E-06,,23.78774344,0.000198619,,13.41631218,2.57E-05,,29.14696459,0.000409993,,16.51496869,3.17E-05,,32.00537439,0.000315086,
11.29508462,8.7487E-06,,8.16110704,3.39373E-06,,9.623893268,5.36679E-06,,10.7519881,3.83977E-06,,9.141975037,5.7784E-07,,6.52127885,7.45055E-06,,9.94984454,1.73E-05,,16.37722174,6.72E-05,,7.633273021,7.14E-06,,24.3490223,0.000199983,,14.10527347,3.10E-05,,29.80815265,0.000418465,,16.93248705,3.64E-05,,32.67260751,0.000316464,
11.00517358,7.71963E-06,,8.062665931,2.07712E-06,,9.467159759,4.40046E-06,,10.5419486,3.45836E-06,,9.019366259,4.63431E-07,,6.258256215,6.73156E-06,,10.2544718,2.13E-05,,16.74988881,7.08E-05,,7.851658376,7.66E-06,,24.90582972,0.000224153,,14.45519863,3.63E-05,,30.46177819,0.00044291,,17.35277975,3.90E-05,,33.33734924,0.000318495,
10.72593548,6.61592E-06,,7.966743747,2.06485E-06,,9.314924884,3.47517E-06,,10.33892268,3.03798E-06,,8.899398477,3.17654E-07,,6.01110794,6.1179E-06,,10.56372476,2.10E-05,,17.11982788,7.47E-05,,8.07170929,8.08E-06,,25.4591254,0.000231081,,14.8089268,4.10E-05,,31.10904758,0.000484506,,17.7761375,4.24E-05,,34.00026837,0.000360785,
10.45688709,6.37246E-06,,7.873260599,1.81434E-06,,9.16703122,3.1687E-06,,10.14262596,2.71305E-06,,8.781984816,2.94985E-07,,5.778640881,5.65107E-06,,10.87774795,2.15E-05,,17.48761385,8.27E-05,,10.78174182,1.98E-05,,26.00973239,0.000243412,,15.16657993,3.96E-05,,31.75099904,0.00044502,,18.20281466,4.76E-05,,34.66194252,0.000328103,
