Group,Hv10,KQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 Parent,311.58,66.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 Parent,311.58,73.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 Parent,311.58,80.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti575 Parent,340.33,44.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti575 Parent,340.33,49.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,343.75,45.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,323.07,57.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,324.74,59.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,334.24,68.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,316.89,70.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 parent,317.13,74.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 CWZ,387.44,60.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti64 CWZ,379.16,60.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090384 ,379.40,54.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090384 ,386.00,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090384 ,385.10,52.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090384 ,384.10,51.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,387.10,49.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,382.50,53.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,387.10,49.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,382.50,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,386.60,48.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090392,385.30,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090338,393.50,44.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090338,390.10,45.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090338,395.50,42.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090338,385.30,42.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090338,388.60,48.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090366 ,396.70,47.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090366 ,386.70,45.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090366 ,384.70,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090366 ,397.40,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,388.10,39.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,388.10,41.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,389.60,40.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,389.60,43.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,393.10,37.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090300 ,393.10,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,397.70,41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,397.70,39.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,398.50,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,398.50,40.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,402.10,37.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER090310,402.10,38.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFT80  weld,393.84,41.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
