Time (sec),Ti575 Flash Thickness,Ti64 Flash Thickness,,Time (sec),Oscillation stroke 
0.711,0,0.12,,0.001,0.004731
0.822,0,0.15,,0.002,-0.01066
0.911,0,0.22,,0.003,0.013488
1.089,0,0.33,,0.004,0.002469
1.267,0,0.55,,0.005,0.0035
1.355,0,0.59,,0.006,-0.00975
1.511,0,0.68,,0.007,0.002949
1.622,0,0.7,,0.008,0.007489
1.667,0.03,0.81,,0.009,0.00012
1.733,0.2,1.31,,0.01,-0.00469
1.778,0.23,1.49,,0.011,-0.00078
1.844,0.2,1.79,,0.012,0.000962
1.911,0.27,1.95,,0.013,-0.00194
2.022,0.25,1.98,,0.014,-0.00982
2.178,0.46,2.23,,0.015,0.0004
2.289,0.55,2,,0.016,-0.00049
2.467,0.67,2.34,,0.017,0.000768
2.6,0.71,2.14,,0.018,0.000291
2.711,0.75,2.47,,0.019,0.001048
2.778,0.79,2.29,,0.02,0.000243
2.822,0.86,2.08,,0.021,-0.00413
,,,,0.022,-0.00248
,,,,0.023,0.000567
,,,,0.024,-0.00767
,,,,0.025,-0.00135
,,,,0.026,-0.00147
,,,,0.027,0.002764
,,,,0.028,0.005729
,,,,0.029,-0.01115
,,,,0.03,0.004903
,,,,0.031,-0.00247
,,,,0.032,0.002451
,,,,0.033,-0.00399
,,,,0.034,0.006299
,,,,0.035,-0.00281
,,,,0.036,-0.00315
,,,,0.037,0.000309
,,,,0.038,-0.00454
,,,,0.039,0.003616
,,,,0.04,-0.01531
,,,,0.041,-0.00473
,,,,0.042,0.007847
,,,,0.043,0.000152
,,,,0.044,0.009021
,,,,0.045,-0.00502
,,,,0.046,-0.0018
,,,,0.047,0.013551
,,,,0.048,-0.00548
,,,,0.049,-0.0082
,,,,0.05,0.005374
,,,,0.051,0.002319
,,,,0.052,-0.00291
,,,,0.053,0.006064
,,,,0.054,0.003827
,,,,0.055,0.004749
,,,,0.056,-0.00209
,,,,0.057,-0.00104
,,,,0.058,0.009619
,,,,0.059,0.006318
,,,,0.06,0.00013
,,,,0.061,-0.00297
,,,,0.062,0.005808
,,,,0.063,0.002584
,,,,0.064,-0.00699
,,,,0.065,-0.00177
,,,,0.066,0.007635
,,,,0.067,0.0000786
,,,,0.068,-0.00943
,,,,0.069,-0.00513
,,,,0.07,0.006702
,,,,0.071,0.001411
,,,,0.072,-0.00583
,,,,0.073,0.001971
,,,,0.074,-0.00013
,,,,0.075,-0.01288
,,,,0.076,-0.00561
,,,,0.077,0.000291
,,,,0.078,0.000671
,,,,0.079,-0.00466
,,,,0.08,-0.00325
,,,,0.081,0.001655
,,,,0.082,0.006491
,,,,0.083,-0.01066
,,,,0.084,-0.00476
,,,,0.085,-0.000042
,,,,0.086,0.003137
,,,,0.087,-0.00095
,,,,0.088,0.0033
,,,,0.089,0.002257
